,pir_duplicates,pir_messages,env_duplicates,env_messages,pir_delivery_ratio,network_delivery_ratio
2019-06-07 16:45:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 17:00:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 17:15:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-07 17:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-07 17:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 18:00:00+00:00,0,0,1,81,0.0,0.9
2019-06-07 18:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 18:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 18:45:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 19:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 19:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 19:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 19:45:00+00:00,0,0,1,80,0.0,0.8888888888888888
2019-06-07 20:00:00+00:00,0,0,1,79,0.0,0.8777777777777778
2019-06-07 20:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 20:30:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-07 20:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 21:00:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-07 21:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 21:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 21:45:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 22:00:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-07 22:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 22:30:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 22:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 23:00:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 23:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 23:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 23:45:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 00:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 00:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 00:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 00:45:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-08 01:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 01:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 01:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 01:45:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-08 02:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 02:15:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 02:30:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 02:45:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 03:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 03:15:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-08 03:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 03:45:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 04:00:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-08 04:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 04:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 04:45:00+00:00,0,0,2,80,0.0,0.8888888888888888
2019-06-08 05:00:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-08 05:15:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-08 05:30:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-08 05:45:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 06:00:00+00:00,0,0,1,85,0.0,0.9444444444444444
2019-06-08 06:15:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-08 06:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 06:45:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 07:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 07:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 07:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 07:45:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-08 08:00:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 08:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 08:30:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-08 08:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 09:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 09:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 09:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 09:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 10:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 10:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 10:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 10:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 11:00:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-08 11:15:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 11:30:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-08 11:45:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-08 12:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 12:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 12:30:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-08 12:45:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 13:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 13:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
